# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
72.14924 44.85728 19.96053 0.03362 19.17270 0.06235 19.67281 0.06924 -1.00000 0.00000 160.48206 -0.03233 1.25924 0.78291 160.48211 -0.03234 -1.00000 17.86643 0.02740 17.38549 0.03129 17.27600 0.07461 0.19629
72.15002 44.88596 18.29619 0.00973 17.49739 0.01695 17.91650 0.01803 -1.00000 0.00000 160.46047 -0.01345 1.25926 0.78341 160.46052 -0.01347 -1.00000 16.24237 0.00708 15.75527 0.00736 15.59656 0.01643 0.20435
72.14754 44.85794 18.89836 0.01476 18.13207 0.02695 18.50696 0.02744 -1.00000 0.00000 160.48078 -0.03283 1.25921 0.78292 160.48079 -0.03287 1.00000 nan nan nan nan nan nan nan
72.14845 44.89351 19.70510 0.02733 18.15517 0.02743 18.90093 0.03703 -1.00000 0.00000 160.45398 -0.00943 1.25923 0.78354 160.45402 -0.00946 -1.00000 16.45561 0.00835 15.77271 0.00746 15.50150 0.01510 0.19433
72.14787 44.88803 17.15468 0.00487 16.43246 0.00855 16.82867 0.00913 -1.00000 0.00000 160.45791 -0.01328 1.25922 0.78344 160.45792 -0.01330 0.00000 nan nan nan nan nan nan nan
72.14672 44.87287 17.08846 0.00469 16.33142 0.00806 16.74485 0.00870 -1.00000 0.00000 160.46898 -0.02366 1.25920 0.78318 160.46902 -0.02365 1.00000 nan nan nan nan nan nan nan
72.14618 44.86605 17.81810 0.00718 17.11938 0.01312 17.52514 0.01393 -1.00000 0.00000 160.47396 -0.02834 1.25919 0.78306 160.47398 -0.02834 0.00000 nan nan nan nan nan nan nan
72.14654 44.88539 19.44751 0.02230 18.67021 0.04114 19.03561 0.04116 -1.00000 0.00000 160.45932 -0.01569 1.25920 0.78340 160.45936 -0.01571 -1.00000 17.21753 0.01561 16.64061 0.01594 16.42682 0.03437 0.16444
72.14648 44.87522 17.74111 0.00685 16.87779 0.01123 17.30608 0.01214 -1.00000 0.00000 160.46707 -0.02228 1.25919 0.78322 160.46706 -0.02233 0.00000 nan nan nan nan nan nan nan
72.14786 44.89644 13.98737 0.00101 13.05165 0.00154 13.54929 0.00176 -1.00000 0.00000 160.45147 -0.00787 1.25922 0.78359 160.45147 -0.00788 -1.00000 nan nan nan nan nan nan 0.04390
72.14371 44.85873 17.72013 0.00676 16.99008 0.01206 17.35293 0.01250 -1.00000 0.00000 160.47842 -0.03439 1.25915 0.78293 160.47846 -0.03438 -1.00000 15.77038 0.00534 15.33526 0.00537 15.05611 0.01161 0.16392
72.14389 44.90484 18.38729 0.01034 17.48678 0.01683 17.95839 0.01855 -1.00000 0.00000 160.44323 -0.00461 1.25915 0.78374 160.44324 -0.00461 -1.00000 16.12741 0.00692 15.55764 0.00642 15.24961 0.01357 0.06468
72.14288 44.87812 13.80835 0.00093 13.37536 0.00179 13.63882 0.00184 -1.00000 0.00000 160.46322 -0.02236 1.25913 0.78327 160.46324 -0.02236 -1.00000 12.85102 0.00093 12.58947 0.00077 12.52827 0.00170 0.12692
72.13994 44.85994 19.97716 0.03408 19.01172 0.05447 19.61357 0.06589 -1.00000 0.00000 160.47579 -0.03566 1.25908 0.78295 160.47583 -0.03565 -2.00000 17.58902 0.02328 16.87611 0.02045 16.60166 0.04555 0.19434
72.13913 44.86781 17.17997 0.00494 16.43371 0.00856 16.87871 0.00940 -1.00000 0.00000 160.46939 -0.03103 1.25907 0.78309 160.46942 -0.03102 1.00000 nan nan nan nan nan nan nan
72.13930 44.90646 18.05084 0.00830 17.19054 0.01376 17.69070 0.01551 -1.00000 0.00000 160.43989 -0.00605 1.25907 0.78377 160.43989 -0.00605 -1.00000 15.89431 0.00580 15.42325 0.00573 15.23240 0.01335 0.03360
72.13818 44.88984 15.32336 0.00191 14.72915 0.00344 15.05002 0.00360 -1.00000 0.00000 160.45210 -0.01736 1.25905 0.78348 160.45212 -0.01737 -1.00000 13.92932 0.00164 13.59140 0.00143 13.48891 0.00328 0.07763
72.13696 44.90423 17.47642 0.00585 16.72366 0.01020 17.15355 0.01106 -1.00000 0.00000 160.44054 -0.00876 1.25903 0.78373 160.44055 -0.00876 -1.00000 15.71968 0.00510 15.27782 0.00508 15.13129 0.01224 0.06244
