# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
#71.71345 45.19067 15.15112 0.00178 14.53683 0.00308 14.86707 0.00330 -1.00000 0.00000 160.02859 -0.05216 1.25164 0.78873 160.02862 -0.05213 -1.00000 13.73026 0.00137 13.42028 0.00124 13.31220 0.00254 0.16115
71.67648 45.19878 19.40867 0.03768 18.40833 0.04106 19.13267 0.06880 -1.00000 0.00000 160.00554 -0.06674 1.25099 0.78887 160.00554 -0.06673 -2.00000 17.08817 0.01302 16.63548 0.01533 16.45206 0.03322 0.07000
71.67412 45.19636 17.14286 0.00603 16.32980 0.00859 16.78925 0.01054 -1.00000 0.00000 160.00630 -0.06958 1.25095 0.78883 160.00631 -0.06955 -1.00000 15.19137 0.00320 14.73943 0.00314 14.57008 0.00656 0.10507
71.67115 45.18095 19.31214 0.03463 18.59977 0.04828 19.27744 0.07813 -1.00000 0.00000 160.01668 -0.08116 1.25090 0.78856 160.01667 -0.08116 -1.00000 17.49511 0.01840 17.14070 0.02414 16.88646 0.04928 0.03386
71.66941 45.18860 18.53380 0.01779 17.73179 0.02363 18.25374 0.03245 -1.00000 0.00000 160.01005 -0.07714 1.25087 0.78869 160.01004 -0.07711 -1.00000 16.59150 0.00875 16.21979 0.01067 15.99486 0.02214 0.09671
71.66818 45.19652 19.34326 0.03558 18.58011 0.04748 19.14740 0.06969 -1.00000 0.00000 160.00346 -0.07266 1.25085 0.78883 160.00347 -0.07265 -1.00000 17.38225 0.01667 17.09071 0.02303 16.90416 0.04995 0.07792
71.66308 45.19078 18.70729 0.02058 17.85398 0.02604 18.35855 0.03542 -1.00000 0.00000 160.00550 -0.07912 1.25076 0.78873 160.00551 -0.07911 -1.00000 16.63432 0.00905 16.13908 0.00996 15.93840 0.02106 0.08351
71.65751 45.19039 17.06618 0.00571 16.25122 0.00817 16.71237 0.00999 -1.00000 0.00000 160.00325 -0.08236 1.25066 0.78872 160.00325 -0.08235 -1.00000 15.10646 0.00303 14.67734 0.00300 14.49952 0.00620 0.06548
71.77249 45.21124 18.73365 0.02074 17.72523 0.02385 18.30703 0.03319 -1.00000 0.00000 160.03986 -0.00714 1.25267 0.78908 160.03990 -0.00716 -1.00000 16.30032 0.00690 15.60155 0.00618 15.33277 0.01236 0.16564
71.77227 45.21712 18.08864 0.01220 17.17117 0.01561 17.70012 0.02032 -1.00000 0.00000 160.03529 -0.00345 1.25266 0.78919 160.03530 -0.00346 -1.00000 15.88475 0.00508 15.39658 0.00521 15.19502 0.01098 0.08195
71.76111 45.21268 19.99399 0.06234 18.88275 0.06252 19.62008 0.10335 -1.00000 0.00000 160.03357 -0.01231 1.25247 0.78911 160.03360 -0.01234 -1.00000 17.63063 0.02036 17.06751 0.02214 16.92282 0.05058 0.13911
